s coeff,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
A1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
A2,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
A3,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
A4,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5
A5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
A6,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15
A7,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8
A8,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16
A9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
A10,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2
A11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A12,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
A13,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A14,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
A15,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
A16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
